antiquewhite4	blue	blue2	brown	coral1	cyan	darkgreen	darkmagenta	darkviolet	firebrick4	floralwhite	grey60	mediumpurple2	orangered3	pink	plum	plum2	skyblue	skyblue1	steelblue	thistle2
	SLC15A5		SPHAR			CTSD	RBM4			PROCA1	KRTAP5-2			RBP2						
	SLCO1A2		CCSAP			SYT8	C11orf80			MIR451A	KRTAP5-6			PLSCR5						
	IAPP		NUP133			TNNI2	POLD4			MIR451B	LINC01219			ARHGEF26-AS1						
	GYS2		ABCB10			MRPL23	PPP1CA			RHBDL3	NAP1L4			LINC01100						
	LINC00477		TTC13			TH	AIP			SLFN14	CARS			MIR16-2						
	LRMP		ARV1			ASCL2	CDK2AP2			AP2B1	OR52B6			LOC100128164						
	STK38L		MIR1182			CD81-AS1	GSTP1			GAS2L2	DNHD1			MIR548AY						
	SMCO2		C1orf131			CD81	NUDT8			C17orf50	LOC100506258			LOC101928992						
	OVCH1-AS1		GNPAT			TSSC4	TBX10			CCL16	PPFIBP2			ZDHHC19						
	OVCH1		SPRTN			KCNQ1	ACY3			CCL14	TRIM66			LOC100130872						
	KIAA1551		EGLN1			CDKN1C	ALDH3B2			CCL15-CCL14	SNORA45A			C4orf48						
	LRRK2		TSNAX-DISC1			SLC22A18AS	UNC93B1			CCL15	SNORA45B			NAT8L						
	MUC19		TSNAX			SLC22A18	NDUFS8			HNF1B	TMEM9B-AS1			MSANTD1						
	LOC101927058		LINC00582			OSBPL5	MRPL21			SRCIN1	IPO7			STX18-IT1						
	ADAMTS20		DISC1			STIM1	MRGPRF			PNMT	AMPD3			CYTL1						
	DBX2		DISC2			MIR4687	FADD			MIR6884	SNORD97			LINC01587						
	RACGAP1P		MAP10			FAM160A2	DHCR7			TTC25	CSNK2A3			CLNK						
	COL2A1		MIR4427			PRKCDBP	ALG1L9P			HSPB9	MICALCL			FAM184B						
	BIN2		COA6			SMPD1	ANAPC15			CCR10	PARVA			LOC102723828						
	ANKRD33		LINC00184			TRIM3	FOLR2			RND2	TEAD1			LINC01258						
	KRT80		RBM34			ARFIP2	CLPB			LOC101929767	SPON1			LOC101927157						
	KRT85		ARID4B			EIF3F	STARD10			MPP2	CYP2R1			SLC10A4						
	KRT71		GGPS1			RPL27A	MRPL48			ADAM11	PLEKHA7			GNRHR						
	KRT73		TBCE			ST5	COA4			CCDC103	NCR3LG1			HTN3						
	KRT73-AS1		B3GALNT2			RASSF10	PAAF1			GFAP	TPH1			PPBP						
	KRT78		ERO1B			RPS13	PPME1			MIR6783	NAV2			C4orf26						
	HOXC13-AS		EDARADD			KCNJ11	P4HA3			LOC644172	NAV2-AS2			LOC101928809						
	HOXC13		LGALS8			SAA2-SAA4	KCNE3			MIR5089	PRRG4			CXCL9						
	HOXC10		LGALS8-AS1			ABTB2	LIPT2			RPRML	QSER1			IBSP						
	HOXC9		HEATR1			FJX1	KLHL35			LRRC46	TCP11L1			MIR302C						
	HOXC5		LINC01139			PRR5L	AAMDC			HOXB1	LINC00294			MIR302B						
	NFE2		CHRM3			C11orf96	NDUFC2-KCTD14			HOXB-AS1	CD59			LOC101929741						
	NEUROD4		CHRM3-AS2			TSPAN18	KCTD14			HOXB3	NAT10			SYNPO2						
	OR10A7		FH			TP53I11	NDUFC2			TTLL6	RAG1			LOC101929762						
	OR6C74		KMO			SLC35C1	KCTD21-AS1			B4GALNT2	PRDM11			FABP2						
	OR6C6		OPN3			CRY2	PRCP			MIR6129	PHF21A			PCDH18						
	OR6C3		CHML			C11orf94	C11orf73			DLX4	CKAP5			SCOC-AS1						
	OR6C75		EXO1			PEX16	ME3			LOC284080	LRP4-AS1			MIR4799						
	OR6C2		CEP170			GYLTL1B	PRSS23			MYCBPAP	LRP4			FGB						
	IL23A		SDCCAG8			CREB3L1	RAB38			EPX	MADD			TRIM61						
	APOF		AKT3			DGKZ	SMCO4			MKS1	LOC101928943			LINC01179						
	DDIT3		ADSS			MDK	KDM4D			BZRAP1	RAPSN			FLJ38576						
	MIR616		C1orf101			CHRM4	MMP7			LOC388406	CELF1			LINC01060						
	KIF5A		DESI2			AMBRA1	MMP1			TBX4	SSRP1			LOC101929645						
	FAM19A2		COX20			ATG13	LOC643733			MARCH10	SMTNL1			NPR3						
	USP15		HNRNPU-AS1			ARHGAP1	SLC35F2			KCNH6	ZDHHC5			EGFLAM						
	MIR6125		HNRNPU			ZNF408	ALG9			PRR29-AS1	TMX2-CTNND1			ANXA2R						
	MIR548C		TFB2M			ARFGAP2	FDXACB1			PRR29	CTNND1			RNF138P1						
	MIR548Z		CNST			PACSIN3	TIMM8B			ICAM2	ZFP91-CNTF			FLJ31104						
	MSRB3		SCCPDH			DDB2	NNMT			LOC440461	ZFP91			FAM159B						
	LOC100507065		AHCTF1			NR1H3	C11orf71			SOX9-AS1	FAM111A			SREK1IP1						
	LINC01479		ZNF670-ZNF695			SLC39A13	LINC00900			LOC101928205	PATL1			LOC101928858						
	IFNG-AS1		ZNF670			C1QTNF4	ZPR1			SDK2	PGA4			S100Z						
	LOC100130075		ZNF669			TNKS1BP1	PCSK7			DNAI2	CPSF7			LOC102546226						
	MRS2P2		ZNF124			C11orf31	FXYD2			KIF19	SCGB1A1			NR2F1-AS1						
	LOC100507377		PGBD2			DTX4	FXYD6-FXYD2			FDXR	AHNAK			LIX1						
	KCNC2		ZMYND11			CCDC86	TMPRSS4			SMIM6	HNRNPUL2			LOC100133050						
	GLIPR1		PRR26			PRPF19	ATP5L			FBF1	ZBTB3			MIR5706						
	PHLDA1		GTPBP4			TMEM132A	TMEM25			FOXJ1	MIR6514			MGC32805						
	MYF5		TUBAL3			VPS37C	CCDC84			RNF157-AS1	SNHG1			LOC101927379						
	LINC01490		NET1			DDB1	TRAPPC4			RNF157	SNORD22			C5orf66-AS2						
	LIN7A		GDI2			TKFC	HMBS			CYGB	SNORD31			VTRNA2-1						
	LOC101928449		RBM17			SYT7	DPAGT1			PRCD	SNORD30			NPY6R						
	C12orf50		PRKCQ-AS1			RPLP0P2	HINFP			ST6GALNAC2	SNORD29			SNORD63						
	LOC728084		ITIH2			DAGLA	RNF26			CCDC40	SNORD28			LOC101929719						
	ATP2B1		KIN			MYRF	TRIM29			AATK-AS1	SNORD27			FCHSD1						
	LINC00936		TAF3			MIR611	VSIG2			LRRC45	SNORD26			ARHGAP26-AS1						
	CCER1		CELF2-AS2			FADS3	FEZ1			CCDC57	RTN3			SPINK1						
	EPYC		USP6NL			MIR6746	EI24			MYOM1	NAA40			SPINK6						
	BTG1		DHTKD1			INCENP	STT3A			TMEM200C	FLRT1			SPINK7						
	CLLU1OS		NUDT5			EEF1G	DDX25			CYP4F35P	MIR6751			ZNF300P1						
	CLLU1		CDC123			MIR3654	SRPR			TTC39C-AS1	MIR612			SLC36A3						
	PLXNC1		OPTN			MIR6747	FOXRED1			PCAT18	EIF1AD			CTB-12O2.1						
	MIR5700		PHYH			TUT1	DCPS			FHOD3	RBM4B			HMMR						
	TMCC3		PRPF18			MTA2	ST3GAL4			ST8SIA5	KDM2A			SLIT3						
	MIR7844		FAM107B			EML3	LOC101929497			KATNAL2	CHKA			LINC01187						
	HAL		HSPA14			ROM1	C11orf45			TCEB3CL	PPP6R3			SNORA74B						
	RMST		SUV39H2			B3GAT3	TMEM45B			TCEB3CL2	CPT1A			STC2						
	IKBIP		DCLRE1C			GANAB	LOC100128239			TCEB3C	CCND1			CPLX2						
	LOC101928937		C10orf111			UQCC3	ACAD8			MIR4744	ORAOV1			SNCB						
	SLC17A8		RPP38			UBXN1	GLB1L3			FBXO15	ANO1			CBY3						
	NR1H4		FAM188A			BSCL2	CACNA2D4			LINC00908	PPFIA1			LTC4S						
	PMCH		PTER			HNRNPUL2-BSCL2	CACNA1C-AS2			LINC00683	CTTN			SNORD95						
	TCP11L2		C1QL3			TAF6L	FKBP4			LOC101927651	KRTAP5-9			FOXCUT						
	LHX5		RSU1			STX5	RHNO1			PARD6G-AS1	FAM168A			LOC101927950						
	LHX5-AS1		STAM-AS1			SNORD25	DYRK4			ODF3L2	UCP3			LOC101928191						
	LINC01234		STAM			HRASLS2	NDUFA9			LPPR3	C2CD3			HIST1H1D						
	LINC00173		CACNB2			C11orf95	ANO2			MIR3187	NEU3			LOC285819						
	SRRM4		NSUN6			C11orf84	CD9			AZU1	PRKRIR			HIST1H2AH						
	HSPB8		ARL5B			MARK2	TAPBPL			GRIN3B	OMP			LOC100131289						
	LINC00934		MALRD1			RCOR2	MRPL51			PCSK4	PAK1			HIST1H2BN						
	HNF1A-AS1		PLXDC2			COX8A	GAPDH			ZFR2	MIR6755			HCG14						
	MIR5188		MIR4675			MACROD1	NOP2			TNFAIP8L1	FOLH1B			UBD						
	LOC101927464		NEBL			DNAJC4	LPAR5			CATSPERD	SNORA32			GABBR1						
	LOC440117		C10orf113			VEGFB	ACRBP			CAPS	SNORD6			SFTA2						
	FLJ37505		DNAJC1			PLCB3	ING4			RFX2	SNORA8			DPCR1						
	LINC00507		LOC100130992			BAD	COPS7A			LOC100128573	SNORD5			CDSN						
	LOC283352		COMMD3			GPR137	MLF2			TGFBR3L	SNORA18			LY6G6C						
	LOC101927735		COMMD3-BMI1			TEX40	CDCA3			CTXN1	MIR1304			C6orf25						
	LOC100190940		BMI1			ESRRA	TPI1			OR1M1	MRE11A			C6orf10						
	FZD10		PIP4K2A			PRDX5	EMG1			OR7G1	FUT4			APOBEC2						
	LINC01257		OTUD1			RPS6KA4	LPCAT3			SNORD105	PIWIL4			CRIP3						
	ANHX		PRTFDC1			MIR1237	C1S			MIR4322	SRSF8			MIR6780B						
	LINC00442		THNSL1			LOC100996455	FOXJ2			ZGLP1	SESN3			MLIP-IT1						
	TUBA3C		PDSS1			NRXN2	KLRG1			MIR199A1	MAML2			MIR548U						
	LOC101928697		ABI1			SF1	A2M-AS1			RGL3	MIR1260B			KHDRBS2						
	ANKRD26P3		ANKRD26			MAP4K2	A2M			CCDC151	TMEM133			MIR30C2						
	LINC01072		YME1L1			MEN1	LOC101928100			MIR7974	YAP1			SNORD50A						
	SACS-AS1		MASTL			CDC42BPG	LOH12CR1			CNN1	ATM			SNORD50B						
	AMER2		ACBD5			ATG2A	MIR614			ZNF491	ZC3H12C			MCHR2-AS1						
	LINC00463		RAB18			PPP2R5B	HEBP1			FBXW9	COLCA1			SCML4						
	LINC01053		MPP7			ARL2	H2AFJ			DAND5	LAYN			LINC00222						
	PDX1-AS1		WAC			ARL2-SNX15	MGP			CACNA1A	SIK2			LOC285762						
	ALOX5AP		MIR604			SNX15	LMO3			RLN3	C11orf57			LOC101928304						
	LINC00398		MTPAP			NAALADL1	SLC48A1			IL27RA	BUD13			ALDH8A1						
	RXFP2		ZEB1-AS1			CDCA5	VDR			CYP4F11	APOA1-AS			LOC102723649						
	CSNK1A1L		ARHGAP12			ZFPL1	TMEM106C			CALR3	SIK3			SUMO4						
	LINC01050		KIF5B			VPS51	C12orf54			NWD1	RNF214			SLC22A2						
	LINC00428		LOC102031319			ZNHIT2	FKBP11			KIAA1683	BACE1			LPA						
	MIR8079		LOC101929431			FAU	PRKAG1			SSBP4	BACE1-AS			LOC729658						
	ERICH6B		CCDC7			SYVN1	LMBR1L			CRLF1	TMPRSS4-AS1			LOC100289495						
	CPB2-AS1		ITGB1			CAPN1	TUBA1B			TMEM59L	SCN4B			MLLT4-AS1						
	LCP1		NRP1			SLC22A20	TROAP			TM6SF2	KMT2A			FRMD1						
	LINC00563		PARD3			TIGD3	FAM186B			PBX4	LOC101929089			SMOC2						
	KIAA0226L		CUL2			SLC25A45	BCDIN3D-AS1			LINC00663	DDX6			THBS2						
	ARL11		ZNF248			FRMD8	BCDIN3D			SLC7A9	MIR4492			LOC442497						
	MIR15A		ZNF33BP1			SCYL1	LOC101927318			CEP89	RPL23AP64			GPER1						
	LINC00282		ZNF25			LTBP3	COX14			SCGB2B2	CBL			TFAMP1						
	PCDH8		ZNF33A			EHBP1L1	CERS5			ZNF599	ARHGEF12			LOC100505921						
	OLFM4		ZNF37A			KCNK7	DAZAP2			HPN-AS1	TECTA			ISPD-AS1						
	LINC00558		HSD17B7P2			MAP3K11	SMAGP			FXYD1	HSPA8			LRRC72						
	LINC00458		LOC441666			PCNXL3	GALNT6			PSENEN	GRAMD1B			LOC100506178						
	LOC101926897		ZNF33B			MIR4690	KRT7			PROSER3	SCN3B			CLK2P1						
	LINC00358		BMS1			RELA	KRT74			ARHGAP33	ZNF202			MIR148A						
	LINC00376		LINC01264			KAT5	KRT2			LOC100134317	TBRG1			DKFZP586I1420						
	KLHL1		ZNF485			RNASEH2C	KRT18			DPF1	SIAE			AMPH						
	LMO7DN		HNRNPA3P1			AP5B1	MFSD5			EID2B	MSANTD2			FAM183B						
	SCEL		ZNF22			MIR1234	ESPL1			MIR641	CDON			MIR6837						
	SCEL-AS1		ZFAND4			OVOL1-AS1	PFDN5			ADCK4	RPUSD4			CAMK2B						
	LOC100129307		GLUD1P7			MUS81	PRR13			CYP2G1P	TIRAP			PKD1L1						
	EDNRB-AS1		ERCC6			EFEMP2	TARBP2			B9D2	ETS1			UPP1						
	LINC01069		PGBD3			CCDC85B	ATP5G2			TMEM91	KCNJ5			ZNF479						
	LINC00446		ERCC6-PGBD3			DRAP1	SMUG1			PINLYP	ARHGAP32			MIR4284						
	NDFIP2-AS1		NCOA4			TSGA10IP	COPZ1			EML2-AS1	NFRKB			SNORA14A						
	SLITRK1		SGMS1			SART1	MUCL1			GIPR	PRDM10			CACNA2D1						
	LINC00433		SGMS1-AS1			SF3B2	METTL7B			MIR642A	APLP2			MGC16142						
	LINC00353		A1CF			PACS1	RDH5			MIR642B	ZBTB44			LOC101927497						
	LINC00379		IPMK			KLC2	CD63			HIF3A	LOC100507431			GNGT1						
	GPC6		UBE2D1			RAB1B	GDF11			CCDC8	LOC103611081			DLX6						
	GPC6-AS2		TFAM			TMEM151A	ORMDL2			CCDC114	MIR4697HG			CNPY4						
	GPR183		SLC16A9			RIN1	WIBG			RUVBL2	NCAPD3			C7orf61						
	SLC10A2		ANK3			BRMS1	DGKA			MIR6798	LOC100288778			FBXO24						
	LINC01309		TMEM26			B4GAT1	SUOX			SLC6A16	LOC100049716			RPL19P12						
	DAOA-AS1		TMEM26-AS1			SLC29A2	PA2G4			LOC101928295	WNK1			ASB15						
	DAOA		ARID5B			PELI3	ZC3H10			FUZ	LINC00942			TMEM229A						
	LINC00343		RTKN2			LOC101928069	ESYT1			SIGLEC11	ADIPOR2			FAM71F2						
	LINC00460		MIR1296			DPP3	MYL6			SIGLEC16	LOC283440			FAM71F1						
	EFNB2		JMJD1C-AS1			ZDHHC24	RNF41			ZNF473	NRIP2			SSMEM1						
	LINC00551		REEP3			CTSF	CS			FLJ26850	LOC100507424			EPHA1-AS1						
	LINC00443		ANXA2P3			CCDC87	CNPY2			NAPSA	CRACR2A			LINC00996						
	FAM155A-IT1		LINC01515			SPTBN2	MIP			SNORD88A	PARP11			NOS3						
	TNFSF13B		SIRT1			RCE1	SPRYD4			ZNF350-AS1	LOC101929549			ATG9B						
	LINC00354		HERC4			PC	ATP5B			CACNG6	VAMP1			LOC389602						
	LINC00403		PBLD			LRFN4	MYO1A			DNAAF3	NCAPD2			LOC101927815						
	LOC101928730		HNRNPH3			C11orf86	MARS			SYT5	CHD4			ZNF705G						
	LINC01044		RUFY2			SYT12	DCTN2			HSPBP1	ZNF384			DEFB4B						
	ATP11AUN		DNA2			RHOD	PIP4K2C			SHISA7	PIANP			DEFB103A						
	ATP4B		TET1			ADRBK1	TSPAN31			NAT14	RPL13P5			DEFB103B						
	LOC101929572		CCAR1			ANKRD13D	CDK4			SSC5D	DSTNP2			DEFB4A						
	POTEH-AS1		SNORD98			SSH3	CYP27B1			ZSCAN18	MIR141			XKR6						
	LOC100508046		MIR1254-1			CLCF1	METTL1			A1BG-AS1	SCARNA12			SLC35G5						
	OR11H2		DDX50			RAD9A	METTL21B			ZNF497	C1RL			LOC392196						
	OR4Q3		DDX21			CARNS1	TSFM			MZF1-AS1	C1RL-AS1			FGF17						
	OR4M1		KIAA1279			RPS6KB2	LINC01465			CENPBD1P1	RBP5			BIN3-IT1						
	OR4K2		VPS26A			CORO1B	BEST3			COLEC11	RIMKLB			MIR6876						
	OR4K5		SUPV3L1			TMEM134	KCNMB4			LOC101929733	PHC1			NUGGC						
	OR4K14		SAR1A			PITPNM1	TSPAN8			C2orf50	LINC00612			ADGRA2						
	OR4K13		PPA1			C11orf72	CSRP2			GDF7	MIR1244-4			HTRA4						
	OR4K17		NPFFR1			NDUFV1	CRADD			EFR3B	MIR1244-3			SFRP1						
	OR4N5		ASCC1			DOC2GP	SNRPF			DRC1	MIR1244-2			C8orf22						
	OR11G2		MCU			TCIRG1	LOC643770			C2orf70	MIR1244-1			RGS20						
	RNASE9		MIR4676			C11orf24	SLC25A3			MAPRE3	LINC00987			LINC01301						
	RNASE11		OIT3			LRP5	CHPT1			IFT172	LOC642846			ZFHX4-AS1						
	LOC254028		P4HA1			MTL5	SYCP3			FLJ31356	DDX12P			POP1						
	RNASE3		ECD			IGHMBP2	NUP37			FAM179A	CLEC2D			KCNS2						
	RNASE13		DNAJC9			TPCN2	C12orf73			LINC00486	GABARAPL1			SNX31						
	RNASE7		ANXA7			NADSYN1	C12orf45			GALM	KLRAP1			LOC101927588						
	OR5AU1		BMS1P4			MIR6754	CKAP4			ARHGEF33	TAS2R14			PCAT1						
	RPGRIP1		AP3M1			FAM86C1	BTBD11			LOC375196	LRP6			PCAT2						
	PSMB11		ADK			RNF121	ISCU			LINC01121	MANSC1			ASAP1-IT2						
	MIR208A		LOC102723439			NUMA1	USP30-AS1			LOC101927043	DUSP16			ASAP1-IT1						
	LOC102724890		KAT6B			LOC100128494	ALKBH2			STON1	CDKN1B			LY6K						
	LOC101927081		SAMD8			LAMTOR1	UNG			MIR4431	HTR7P1			LOC100288181						
	NFKBIA		NUTM2B-AS1			FOLR1	KCTD10			MIR5192	KIAA1467			SLURP1						
	SFTA3		BMS1P21			INPPL1	GLTP			ANKRD53	WBP11			CDC42P3						
	NKX2-1		SH2D4B			ARAP1	SH2B3			PAIP2B	SLCO1B3			BREA2						
	PAX9		GHITM			P2RY2	ALDH2			NAT8	C2CD5			MIR6847						
	LRFN5		CCSER2			ARHGEF17	TRAFD1			C2orf81	RASSF8			MIR6849						
	MDGA2		WAPAL			UCP2	SLC8B1			WDR54	BHLHE41			FOXH1						
	GNG2		BMPR1A			SLCO2B1	TBX3			M1AP	PPFIBP1			DDX11L5						
	LOC102723604		GLUD1			TPBGL	WSB2			SFTPB	REP15			BNC2						
	MIR5580		FAM35A			ARRB1	PEBP1			MIR6071	IPO8			MIR491						
	LOC101927780		MIR4678			RPS3	PRKAB1			LOC442028	CAPRIN2			PRSS3						
	HIF1A		MINPP1			GDPD5	COX6A1			TEKT4	ALG10			ATP8B5P						
	HIF1A-AS2		PAPSS2			SERPINH1	TRIAP1			FER1L5	ALG10B			HRCT1						
	KCNH5		ATAD1			TSKU	GATC			LOC101927053	IRAK4			PGM5P2						
	LOC145474		PTEN			LOC101928837	SRSF9			VWA3B	PFKM			ANKRD20A4						
	FOS		RNLS			CAPN5	DYNLL1			CNGA3	MIR6505			LOC100133920						
	LINC01220		LIPJ			KCTD21	COQ5			KIAA1211L	SNORA34			FOXD4L3						
	LRRC74A		STAMBPL1			USP35	RNF10			TBC1D8	MIR1291			GKAP1						
	LOC283575		LIPA			TENM4	POP5			C2orf40	CCNT1			C9orf153						
	LOC102724190		IFIT1B			FAM181B	SPPL3			SH3RF3	MIR4701			LOC100129316						
	DIO2		PANK1			APOA1	P2RX4			LOC440895	DDX23			OMD						
	DIO2-AS1		KIF20B			SIDT2	ORAI1			LOC100288570	WNT10B			ANKRD19P						
	LINC01467		LINC00865			LOC100652768	HPD			MIR4267	KMT2D			TXNDC8						
	LOC283585		RPP30			TAGLN	PSMD9			NPHP1	SPATS2			ZFP37						
	GPR65		PCGF5			TMPRSS13	DIABLO			LOC100507334	PRPF40B			PAPPA						
	LOC101928791		HECTD2			TTC36	BRI3BP			RABL2A	CSRNP2			MIR147A						
	LINC01146		TNKS2			PHLDB1	AACS			INHBB	TFCP2			MIR181A2HG						
	LINC00642		BTAF1			CXCR5	SLC15A4			LINC01101	POU6F1			NRON						
	SLC24A4		CPEB3			BCL9L	RAN			PROC	EIF4B			C9orf163						
	CHGA		MARCH5			RPS25	PXMP2			LIMS2	CSAD			C8G						
	SERPINA2		IDE			MIR3656	ANKLE2			FAR2P1	ZNF740			LCN12						
	SERPINA1		KIF11			SLC37A4	CRYL1			MED15P9	SP1			CLIC3						
	GSC		EXOC6			HYOU1	N6AMT2			CCDC74B	ATF7			CYSRT1						
	TCL6		FFAR4			VPS11	SAP18			CYP4F62P	LOC100652999			LOC101928201						
	TCL1B		FRA10AC1			H2AFX	MRPL57			CYP4F30P	FLJ12825			VCX3B						
	LOC100129345		LGI1			NLRX1	MIPEP			CCDC74A	HNRNPA1			AMELX						
	MEG3		SLC35G1			MCAM	C1QTNF9B-AS1			POTEKP	HNRNPA1P10			TMEM27						
	RTL1		PIPSL			PVRL1	C1QTNF9B			LOC101929260	DNAJC14			SCARNA9L						
	SNORD113-9		PLCE1			LOC102724301	ATP8A2			CCDC148-AS1	TMEM198B			RP11-87M18.2						
	SNHG24		PLCE1-AS2			OAF	RPL21			LOC100506124	CDK2			GAGE13						
	MIR544A		PLCE1-AS1			SLC37A2	RPL21P28			XIRP2-AS1	IKZF4			WNK3						
	MIR377		NOC3L			PKNOX2	GTF3A			BBS5	ERBB3			ZC3H12B						
	TDRD9		TBC1D12			KIRREL3	POLR1D			LINC01124	SMARCC2			ACRC						
	MIR203A		HELLS			BARX2	TSC22D1			ERICH2	PAN2			ERCC6L						
	MIR203B		CYP2C19			ST14	EBPL			COL5A2	TIMELESS			LOC286437						
	ADAM6		CYP2C9			ADAMTS15	DLEU7			C2orf66	GLS2			LOC101928335						
	MIR5195		ACSM6			VPS26B	FAM124A			ERBB4	RBMS2			LOC101928437						
	GOLGA6L6		SORBS1			B3GAT1	DHRS12			MARCH4	BAZ2A			LOC642776						
	POTEB2		ENTPD1			IQSEC3	COMMD6			IGFBP2	NACA			LOC101928402						
	POTEB3		CC2D2B			B4GALNT3	LINC01068			IGFBP5	RDH16			MIR503HG						
	POTEB		CCNJ			FBXL14	SPRY2			CATIP	ZBTB39			FMR1-AS1						
	MIR5701-1		ZNF518A			WNT5B	LINC00359			CATIP-AS1	NEMP1			LINC00850						
	MIR5701-2		BLNK			FOXM1	UBAC2			STK36	STAC3			PNMA3						
	MIR5701-3		TM9SF3			TEAD4	LOC101927437			LOC100129175	R3HDM2			MAGEA1						
	LINC01193		LCOR			TSPAN9	GGACT			CCDC108	MIR6759			TREX2						
	LOC101927079		C10orf12			VWF	CARS2			IHH	PPM1H									
	LOC727924		ARHGAP19-SLIT1			PLEKHG6	F7			ANKZF1	C12orf66									
	OR4M2		R3HCC1L			TNFRSF1A	TTC5			GLB1L	GNS									
	GOLGA6L22		CUTC			SCNN1A	OSGEP			TUBA4B	LEMD3									
	PWRN2		DNMBP-AS1			LTBR	PNP			DNER	HMGA2									
	SNORD115-5		ERLIN1			CD27-AS1	RNASE6			LOC151475	IRAK3									
	SNORD115-9		CHUK			IFFO1	METTL17			ARMC9	MIR6502									
	SNORD115-10		BLOC1S2			PTMS	LOC101929718			C2orf57	MIR1279									
	SNORD115-12		BTRC			CD4	NDRG2			TRAF3IP1	ATXN7L3B									
	SNORD115-37		MGEA5			P3H3	TMEM253			LINC01107	PPFIA2									
	LOC100128714		NOLC1			USP5	HNRNPC			ANKMY1	TMTC2									
	LOC101928134		C10orf32			SPSB2	DAD1			LOC200772	CEP290									
	KATNBL1		C10orf32-ASMT			ATN1	ABHD4			SNED1	PLEKHG7									
	GJD2		NT5C2			C12orf57	MRPL52			PASK	MIR331									
	LOC101928174		PCGF6			MIR200C	RBM23			MIR3133	METAP2									
	ANKRD63		SH3PXD2A-AS1			PHB2	PRMT5-AS1			C20orf96	PGAM1P5									
	PLA2G4D		OBFC1			C1R	PRMT5			NRSN2-AS1	CCDC38									
	TRIM69		SLK			CLSTN3	HAUS4			TMEM74B	AMDHD1									
	C15orf48		SFR1			PEX5	PSMB5			LOC388780	TMPO-AS1									
	CTXN2		MIR4482			FAM90A1	HOMEZ			TMC2	TMPO									
	SLC12A1		ADD3-AS1			LINC00937	CMTM5			AVP	ANKS1B									
	UNC13C		ADD3			TSPAN11	THTPA			SPEF1	NT5DC3									
	CGNL1		MXI1			DDX11	AP1G2			LAMP5-AS1	NUAK1									
	MYZAP		SMNDC1			PCED1B	LOC102724814			BTBD3	SART3									
	ALDH1A2		SMC3			RAPGEF3	DHRS2			DZANK1	SSH1									
	AQP9		PDCD4			HDAC7	PCK2			LINC01431	USP30									
	LOC101928694		MIR4680			OR10AD1	PSME1			CSTL1	UBE3B									
	MGC15885		BBIP1			LINC00935	PSME2			FAM182B	FAM222A-AS1									
	RAB8B		SHOC2			ADCY6	IRF9			FAM182A	TCHP									
	MIR4511		GPAM			LOC100506125	TM9SF1			DEFB124	ATP2A2									
	MIR4311		ACSL5			CACNB3	MDP1			REM1	PPTC7									
	LINC01169		ZDHHC6			ARF3	NEDD8-MDP1			LINC00028	ACAD10									
	MIR629		VTI1A			DDN	NEDD8			TTLL9	MIR6761									
	TMEM202		MIR4295			TUBA1C	TINF2			C20orf203	ADAM1A									
	TBC1D21		CASP7			MCRS1	RABGGTA			MIR499A	MIR3657									
	PPCDC		DCLRE1A			FMNL3	DHRS1			MIR499B	HECTD4									
	ISL2		NHLRC2			NCKAP5L	SDR39U1			CEP250	MIR6861									
	ANKRD34C		CCDC186			FAIM2	PSMA6			SNORA71A	RPL6									
	BCL2A1		MIR2110			AQP2	SLC25A21-AS1			SLC32A1	PTPN11									
	LINC00927		ABLIM1			AQP5	LINC00871			PKIG	TPCN1									
	TM6SF1		FAM160B1			AQP6	RPL10L			WFDC6	MIR6762									
	RHCG		TRUB1			ASIC1	LRR1			EPPIN-WFDC6	RBM19									
	LINC00928		SLC18A2			SMARCD1	MGAT2			EPPIN	MED13L									
	LOC104613533		PDZD8			GPD1	MIR6076			SLC13A3	FBXW8									
	C15orf32		RAB11FIP2			LETMD1	BMP4			LINC01522	SUDS3									
	LOC101927153		FAM204A			FIGNL2	CDKN3			LINC01523	CIT									
	LINC01580		CACUL1			ACVR1B	LGALS3			LINC00494	GCN1									
	SPATA8		SNORA19			ATG101	KTN1-AS1			KCNB1	MLEC									
	LOC101927286		FAM45A			KRT81	TMEM30B			LINC01273	C12orf43									
	LUNAR1		FAM45B			KRT86	HSPA2			CYP24A1	CAMKK2									
	OR4F6		PRDX3			KRT6C	CHURC1-FNTB			RBM38	KDM2B									
	OR4F15		INPP5F			KRT5	GPX2			C20orf85	MIR7107									
	OR4F13P		MCMBP			KRT8	FNTB			PHACTR3	LINC01089									
	FAM138E		SEC23IP			LOC283335	MAX			MIR1-1HG	MLXIP									
	LINC00254		WDR11-AS1			TNS2	LOC100506321			OGFR-AS1	ZCCHC8									
	DNASE1L2		WDR11			SPRYD3	PLEK2			COL9A3	RSRC2									
	MIR4717		FGFR2			ITGB7	ERH			C20orf195	KNTC1									
	PRSS27		ATE1			RARG	CCDC177			UCKL1-AS1	CDK2AP1									
	OR1F1		ATE1-AS1			C12orf10	COX16			LKAAEAR1	SETD8									
	OR1F2P		NSMCE4A			AAAS	DPF3			LINC00159	SNRNP35									
	ZNF200		PLEKHA1			PCBP2	ZFYVE1			KCNE1	DDX55									
	LINC00921		CUZD1			PCBP2-OT1	C14orf169			LINC00479	ATP6V0A2									
	TMEM114		FAM24B-CUZD1			CALCOCO1	ACOT2			LINC00112	ZNF664									
